name,artists,emotion,Topic_distr_0,Topic_distr_1,Topic_distr_2,Topic_distr_3,Topic_distr_4,Topic_distr_5,Topic_distr_6
Triad - Live,"Crosby, Stills, Nash & Young",joy,0.019238745793700218,0.8845675,0.019237345084547997,0.019237758591771126,0.01923765242099762,0.0192410908639431,0.019239861518144608
Hot 4 U,A Tribe Called Quest,anger,0.014870453625917435,0.7258778,0.014839056879281998,0.01484138984233141,0.014840037561953068,0.19986513257026672,0.014856794849038124
Just One Look - 1997 Remaster,The Hollies,joy,0.03140115365386009,0.8115977,0.031398072838783264,0.03139903396368027,0.03139881044626236,0.03140290081501007,0.03140230476856232
People Say,Various Artists,sadness,0.028341930359601974,0.8299494,0.028339669108390808,0.02834019623696804,0.028340790420770645,0.028344225138425827,0.028344426304101944
Vor dem Tode träumen wir,Sopor Aeternus & The Ensemble Of Shadows,sadness,0.024141354486346245,0.8551494,0.02414054051041603,0.024140767753124237,0.024140726774930954,0.02414245344698429,0.02414514124393463
Little Saint Nick - 1991 Remix,Various Artists,joy,0.030675536021590233,0.6127321,0.030665665864944458,0.03066561184823513,0.030665358528494835,0.030719740316271782,0.23386317491531372
Calling you,MY FIRST STORY,joy,0.02173016592860222,0.86962086,0.021728400141000748,0.021728763356804848,0.021728701889514923,0.021732674911618233,0.021731017157435417
Crystal Asunder,Burst,anger,0.023105669766664505,0.8612779,0.02310916595160961,0.023101123049855232,0.023100391030311584,0.02310914732515812,0.023179981857538223
你令我閃耀,Sam Hui,joy,0.022427428513765335,0.45854792,0.42931121587753296,0.0224260613322258,0.02242600917816162,0.0224319901317358,0.02242937497794628
Heart Like A Truck,Lainey Wilson,joy,0.019141878932714462,0.85696524,0.019140664488077164,0.019141513854265213,0.019140981137752533,0.04732756316661835,0.01914403960108757
Bass Drum Dealer (B.D.D),Anna Lunoe,joy,0.04529937729239464,0.72812486,0.0453050434589386,0.04536813870072365,0.04529639333486557,0.04529920965433121,0.04530488699674606
On My Block,Scarface,joy,0.025065472349524498,0.76160675,0.02503172867000103,0.02500057965517044,0.11326532065868378,0.025018859654664993,0.025022920221090317
Travelin' Soldier,Bruce Robison,sadness,0.01866321824491024,0.8879583,0.018662501126527786,0.018662769347429276,0.018662549555301666,0.01866495981812477,0.018725384026765823
The Reason,Hoobastank,sadness,0.03323912248015404,0.80057037,0.033236000686883926,0.03323656693100929,0.03323670104146004,0.033240824937820435,0.03324056789278984
"(What's So Funny 'Bout) Peace, Love And Understanding","""Keb' Mo'""",sadness,0.027720898389816284,0.83367485,0.027719607576727867,0.027719922363758087,0.027720065787434578,0.027722284197807312,0.027722429484128952
Riding the Blues,"Snowy White, The White Flames",joy,0.02396460995078087,0.85620433,0.02396281063556671,0.023963499814271927,0.02396334521472454,0.023966260254383087,0.02397509105503559
Break the Chains,24-7 Spyz,joy,0.023711228743195534,0.85773456,0.023708587512373924,0.023709245026111603,0.023710530251264572,0.023712892085313797,0.023712951689958572
I'm Through with Love,Patti LuPone,sadness,0.029805205762386322,0.8211745,0.029801156371831894,0.02980169653892517,0.029801813885569572,0.029810607433319092,0.029805006459355354
"Every Little Kiss - Live at the Ritz, NYC, NY - February 1987","Bruce Hornsby, The Range",sadness,0.023799607530236244,0.85720116,0.023798437789082527,0.023798804730176926,0.023799164220690727,0.0238022580742836,0.023800864815711975
Li'l Red Riding Hood,Bowling For Soup,neutral,0.022274227812886238,0.8665776,0.02222719043493271,0.02222805842757225,0.022227594628930092,0.02223568595945835,0.022229423746466637
Chasing The Daylight,Phillip LaRue,sadness,0.019227320328354836,0.88463765,0.019225437194108963,0.019225813448429108,0.019225802272558212,0.019230278208851814,0.01922769472002983
Ascension of the Blind Dragon,Shaarimoth,joy,0.22329649329185486,0.6970961,0.01590709388256073,0.015955496579408646,0.01589983142912388,0.015927517786622047,0.015931012108922005
tellmewhatuwant,aldn,fear,0.03010460175573826,0.8193387,0.030114129185676575,0.03010370396077633,0.030103789642453194,0.030106209218502045,0.03012860007584095
Miss Joana,Sick Sick Sinners,joy,0.22792091965675354,0.62208444,0.029996315017342567,0.029996652156114578,0.029997123405337334,0.03000180795788765,0.029999131336808205
In Control,YoungBoy Never Broke Again,anger,0.01879381202161312,0.8888086,0.01840732805430889,0.018409693613648415,0.01841929741203785,0.01844041608273983,0.018759043887257576
Talking Her 'Round,Smokie,joy,0.020933279767632484,0.8744026,0.020931195467710495,0.020931782200932503,0.020931873470544815,0.020934129133820534,0.020935209468007088
Lost Cause - Paranormal Attack Remix,NOVELISTS,sadness,0.02135070227086544,0.8718907,0.021356157958507538,0.021349264308810234,0.02134832926094532,0.021353941410779953,0.021350840106606483
Grow,The Oh Hellos,neutral,0.016627561300992966,0.90022516,0.016626745462417603,0.016626998782157898,0.016627131029963493,0.016635175794363022,0.016631269827485085
Alabama Boy,Alice Peacock,sadness,0.02015797235071659,0.8790247,0.020157678052783012,0.020156405866146088,0.020156055688858032,0.020186683163046837,0.020160095766186714
Love Like You (feat. Rebecca Sugar) - Reprise,Steven Universe,fear,0.024187467992305756,0.8548728,0.024185454472899437,0.02418658696115017,0.024186354130506516,0.02418855018913746,0.024192804470658302
R.L. Burnouts Inc.,The Falcon,joy,0.01879008486866951,0.88726044,0.01878872700035572,0.018789295107126236,0.018788866698741913,0.018791407346725464,0.018791304901242256
Duk Koo Kim,Sun Kil Moon,joy,0.015318422578275204,0.9080799,0.015317973680794239,0.015323836356401443,0.015318071469664574,0.015321129932999611,0.015320651233196259
Carpark Kitten,Proem,joy,0.032775718718767166,0.71562254,0.12072513997554779,0.0327535942196846,0.03275269642472267,0.03275575861334801,0.032835595309734344
better like that,slenderbodies,joy,0.029090600088238716,0.6620827,0.029086953029036522,0.03077065572142601,0.19033172726631165,0.029409142211079597,0.029103290289640427
When We Love,Aaron Static,sadness,0.02786802127957344,0.8327936,0.027865592390298843,0.027866438031196594,0.027866678312420845,0.02787083201110363,0.02786882594227791
Wild Birds,Russkaja,joy,0.028974631801247597,0.82614595,0.028971930965781212,0.028972510248422623,0.028973232954740524,0.02897743508219719,0.02898433245718479
Here Comes a Regular - 2008 Remaster,The Replacements,disgust,0.016539420932531357,0.900804,0.016529640182852745,0.016529856249690056,0.01652972772717476,0.016531256958842278,0.01653607003390789
Ain't Equal,Megan Thee Stallion,anger,0.015514807775616646,0.90690696,0.015510599128901958,0.015517509542405605,0.015509989112615585,0.015521315857768059,0.015518969856202602
The Tribute,Nonpoint,joy,0.298783540725708,0.62439406,0.015349846333265305,0.015374429523944855,0.01537891011685133,0.015370291657745838,0.01536619383841753
Julianne,Paolo Nutini,joy,0.041321225464344025,0.46491757,0.04131804406642914,0.04131884500384331,0.04131901636719704,0.04132629558444023,0.32850492000579834
Cover You In Kisses,John Michael Montgomery,joy,0.024814045056700706,0.851117,0.02481231279671192,0.024812759831547737,0.024812797084450722,0.02481665275990963,0.024814151227474213
Go Your Own Way - Live 1977,Fleetwood Mac,anger,0.03253020718693733,0.80481976,0.03252749890089035,0.03252853453159332,0.03252870589494705,0.032533254474401474,0.03253204748034477
Stories - Bonus Track,Viktor Lazlo,sadness,0.017965730279684067,0.89220446,0.017964666709303856,0.01796530745923519,0.01796502247452736,0.01796741597354412,0.01796739734709263
Jesus Saves,Wes Hampton,joy,0.028277482837438583,0.8302941,0.028276391327381134,0.028277138248085976,0.028277186676859856,0.028278764337301254,0.028316183015704155
Carmen,Lana Del Rey,joy,0.0186312235891819,0.5612664,0.018720803782343864,0.018650652840733528,0.01861684024333954,0.34547585248947144,0.01863938197493553
Deep Blue Heart,John Mellencamp,joy,0.017966892570257187,0.8921965,0.017966140061616898,0.017966486513614655,0.01796646974980831,0.017969047650694847,0.017968475818634033
It'll End Too Soon,Crooked Still,sadness,0.023017995059490204,0.86190444,0.023014727979898453,0.023014578968286514,0.023014526814222336,0.02301715314388275,0.023016592487692833
Rock N Roll Soul,Screaming Eagles,joy,0.03135447949171066,0.8118609,0.03135219216346741,0.03136402368545532,0.031352698802948,0.03135860338807106,0.03135709837079048
Bye Bye Babylon,Cryoshell,anger,0.038065072149038315,0.7714005,0.03806423023343086,0.03806518390774727,0.03806664049625397,0.038067035377025604,0.038264479488134384
Paul's Ministry,The Isaacs,neutral,0.14231546223163605,0.733763,0.024576928466558456,0.02457956038415432,0.02576485648751259,0.024677563458681107,0.02458396926522255
